--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
2.300000,3.600000,173.167772,378.992196,148.121920
2.300000,3.700000,177.642216,383.466640,150.669760
2.300000,3.800000,182.116660,387.941084,153.217600
2.300000,3.900000,186.591104,392.415528,155.765440
2.300000,4.000000,191.065548,396.889972,158.313280
2.300000,4.100000,195.539992,401.364416,160.861120
2.300000,4.200000,200.014436,405.838860,163.408960
2.300000,4.300000,204.488880,410.313304,165.956800
2.300000,4.400000,208.963324,414.787748,168.504640
2.300000,4.500000,213.437768,419.262192,171.052480
2.300000,4.600000,217.912212,423.736636,173.600320
2.300000,4.700000,222.386656,428.211080,176.148160
2.300000,4.800000,226.861100,432.685524,178.696000
2.300000,4.900000,231.335544,437.159968,181.243840
2.400000,3.000000,146.846664,361.619976,135.287040
2.400000,3.100000,151.321108,366.094420,137.834880
2.400000,3.200000,155.795552,370.568864,140.382720
2.400000,3.300000,160.269996,375.043308,142.930560
2.400000,3.400000,164.744440,379.517752,145.478400
2.400000,3.500000,169.218884,383.992196,148.026240
2.400000,3.600000,173.693328,388.466640,150.574080
2.400000,3.700000,178.167772,392.941084,153.121920
2.400000,3.800000,182.642216,397.415528,155.669760
2.400000,3.900000,187.116660,401.889972,158.217600
2.400000,4.000000,191.591104,406.364416,160.765440
2.400000,4.100000,196.065548,410.838860,163.313280
2.400000,4.200000,200.539992,415.313304,165.861120
2.400000,4.300000,205.014436,419.787748,168.408960
2.400000,4.400000,209.488880,424.262192,170.956800
2.400000,4.500000,213.963324,428.736636,173.504640
2.400000,4.600000,218.437768,433.211080,176.052480
2.400000,4.700000,222.912212,437.685524,178.600320
2.400000,4.800000,227.386656,442.159968,181.148160
2.400000,4.900000,231.861100,446.634412,183.696000
2.500000,3.000000,147.372220,371.094420,137.739200
2.500000,3.100000,151.846664,375.568864,140.287040
2.500000,3.200000,156.321108,380.043308,142.834880
2.500000,3.300000,160.795552,384.517752,145.382720
2.500000,3.400000,165.269996,388.992196,147.930560
2.500000,3.500000,169.744440,393.466640,150.478400
2.500000,3.600000,174.218884,397.941084,153.026240
2.500000,3.700000,178.693328,402.415528,155.574080
2.500000,3.800000,183.167772,406.889972,158.121920
2.500000,3.900000,187.642216,411.364416,160.669760
2.500000,4.000000,192.116660,415.838860,163.217600
2.500000,4.100000,196.591104,420.313304,165.765440
2.500000,4.200000,201.065548,424.787748,168.313280
2.500000,4.300000,205.539992,429.262192,170.861120
2.500000,4.400000,210.014436,433.736636,173.408960
2.500000,4.500000,214.488880,438.211080,175.956800
2.500000,4.600000,218.963324,442.685524,178.504640
2.500000,4.700000,223.437768,447.159968,181.052480
2.500000,4.800000,227.912212,451.634412,183.600320
2.500000,4.900000,232.386656,456.108856,186.148160
2.600000,3.000000,147.897776,380.568864,140.191360
2.600000,3.100000,152.372220,385.043308,142.739200
2.600000,3.200000,156.846664,389.517752,145.287040
2.600000,3.300000,161.321108,393.992196,147.834880
2.600000,3.400000,165.795552,398.466640,150.382720
2.600000,3.500000,170.269996,402.941084,152.930560
2.600000,3.600000,174.744440,407.415528,155.478400
2.600000,3.700000,179.218884,411.889972,158.026240
2.600000,3.800000,183.693328,416.364416,160.574080
2.600000,3.900000,188.167772,420.838860,163.121920
2.600000,4.000000,192.642216,425.313304,165.669760
2.600000,4.100000,197.116660,429.787748,168.217600
2.600000,4.200000,201.591104,434.262192,170.765440
2.600000,4.300000,206.065548,438.736636,173.313280
2.600000,4.400000,210.539992,443.211080,175.861120
2.600000,4.500000,215.014436,447.685524,178.408960
2.600000,4.600000,219.488880,452.159968,180.956800
2.600000,4.700000,223.963324,456.634412,183.504640
2.600000,4.800000,228.437768,461.108856,186.052480
2.600000,4.900000,232.912212,465.583300,188.600320
2.700000,3.000000,148.423332,390.043308,142.643520
2.700000,3.100000,152.897776,394.517752,145.191360
2.700000,3.200000,157.372220,398.992196,147.739200
2.700000,3.300000,161.846664,403.466640,150.287040
2.700000,3.400000,166.321108,407.941084,152.834880
2.700000,3.500000,170.795552,412.415528,155.382720
2.700000,3.600000,175.269996,416.889972,157.930560
2.700000,3.700000,179.744440,421.364416,160.478400
2.700000,3.800000,184.218884,425.838860,163.026240
2.700000,3.900000,188.693328,430.313304,165.574080
2.700000,4.000000,193.167772,434.787748,168.121920
2.700000,4.100000,197.642216,439.262192,170.669760
2.700000,4.200000,202.116660,443.736636,173.217600
2.700000,4.300000,206.591104,448.211080,175.765440
2.700000,4.400000,211.065548,452.685524,178.313280
2.700000,4.500000,215.539992,457.159968,180.861120
2.700000,4.600000,220.014436,461.634412,183.408960
2.700000,4.700000,224.488880,466.108856,185.956800
2.700000,4.800000,228.963324,470.583300,188.504640
2.700000,4.900000,233.437768,475.057744,191.052480
2.800000,3.000000,148.948888,399.517752,145.095680
2.800000,3.100000,153.423332,403.992196,147.643520
2.800000,3.200000,157.897776,408.466640,150.191360
2.800000,3.300000,162.372220,412.941084,152.739200
2.800000,3.400000,166.846664,417.415528,155.287040
2.800000,3.500000,171.321108,421.889972,157.834880
2.800000,3.600000,175.795552,426.364416,160.382720
2.800000,3.700000,180.269996,430.838860,162.930560
2.800000,3.800000,184.744440,435.313304,165.478400
2.800000,3.900000,189.218884,439.787748,168.026240
2.800000,4.000000,193.693328,444.262192,170.574080
2.800000,4.100000,198.167772,448.736636,173.121920
2.800000,4.200000,202.642216,453.211080,175.669760
2.800000,4.300000,207.116660,457.685524,178.217600
2.800000,4.400000,211.591104,462.159968,180.765440
2.800000,4.500000,216.065548,466.634412,183.313280
2.800000,4.600000,220.539992,471.108856,185.861120
2.800000,4.700000,225.014436,475.583300,188.408960
2.800000,4.800000,229.488880,480.057744,190.956800
2.800000,4.900000,233.963324,484.532188,193.504640
2.900000,3.000000,149.474444,408.992196,147.547840
2.900000,3.100000,153.948888,413.466640,150.095680
2.900000,3.200000,158.423332,417.941084,152.643520
2.900000,3.300000,162.897776,422.415528,155.191360
2.900000,3.400000,167.372220,426.889972,157.739200
2.900000,3.500000,171.846664,431.364416,160.287040
2.900000,3.600000,176.321108,435.838860,162.834880
2.900000,3.700000,180.795552,440.313304,165.382720
2.900000,3.800000,185.269996,444.787748,167.930560
2.900000,3.900000,189.744440,449.262192,170.478400
2.900000,4.000000,194.218884,453.736636,173.026240
2.900000,4.100000,198.693328,458.211080,175.574080
2.900000,4.200000,203.167772,462.685524,178.121920
2.900000,4.300000,207.642216,467.159968,180.669760
2.900000,4.400000,212.116660,471.634412,183.217600
2.900000,4.500000,216.591104,476.108856,185.765440
2.900000,4.600000,221.065548,480.583300,188.313280
2.900000,4.700000,225.539992,485.057744,190.861120
2.900000,4.800000,230.014436,489.532188,193.408960
2.900000,4.900000,234.488880,494.006632,195.956800
